,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Distance,Council Area,Population,Schools,Hospitals,Sports facilities,Woolies,Coles
691,Richmond,57 Neptune St,3,h,1650000.0,S,hockingstuart,23-04-2016,3121,Northern Metropolitan,2.4,Yarra City Council,27705,9,2,47,0,0
692,Ringwood East,21a Carcoola Rd,3,h,640000.0,VB,Noel,23-04-2016,3135,Eastern Metropolitan,21.3,Maroondah City Council,10265,6,3,20,0,0
693,Ringwood North,55 Aurum Cr,3,h,960000.0,S,RT,23-04-2016,3134,Eastern Metropolitan,19.9,Manningham City Council,9832,12,1,46,0,0
694,Roxburgh Park,21 Cashmore Pl,3,h,385000.0,S,Ray,23-04-2016,3064,Northern Metropolitan,20.6,Hume City Council,21817,17,1,43,1,1
695,Roxburgh Park,96 Hayfield Rd,3,h,340000.0,S,Raine,23-04-2016,3064,Northern Metropolitan,20.6,Hume City Council,21817,17,1,43,1,1
696,Seaford,20 Duncan Av,3,h,550000.0,SP,hockingstuart,23-04-2016,3198,South-Eastern Metropolitan,35.4,Frankston City Council,16463,10,0,30,0,0
697,Seaholme,5 Parkside Cr,3,h,1050000.0,S,hockingstuart,23-04-2016,3018,Western Metropolitan,11.0,Hobsons Bay City Council,1928,4,1,25,0,0
698,Seddon,32 Walter St,4,h,970000.0,VB,Jas,23-04-2016,3011,Western Metropolitan,5.1,Maribyrnong City Council,5123,5,8,28,0,0
699,South Melbourne,5/182 Albert Rd,1,u,480000.0,S,hockingstuart,23-04-2016,3205,Southern Metropolitan,1.9,Port Phillip City Council,10920,3,0,2,1,1
700,South Melbourne,10 Coote St,3,t,1185000.0,S,Parkinson,23-04-2016,3205,Southern Metropolitan,1.9,Port Phillip City Council,10920,3,0,2,1,1
701,South Morang,31 Buttress Cr,4,h,470000.0,S,Ray,23-04-2016,3752,Northern Metropolitan,20.5,Whittlesea City Council,24060,3,0,5,1,1
702,South Morang,3 Featherpark Tce,4,h,552250.0,S,Harcourts,23-04-2016,3752,Northern Metropolitan,20.5,Whittlesea City Council,24060,3,0,5,1,1
703,South Morang,9 Lamour Av,4,h,480000.0,SP,Barry,23-04-2016,3752,Northern Metropolitan,20.5,Whittlesea City Council,24060,3,0,5,1,1
704,South Morang,23 Lazar Gr,5,h,660000.0,S,Ray,23-04-2016,3752,Northern Metropolitan,20.5,Whittlesea City Council,24060,3,0,5,1,1
705,South Yarra,1 Davis Av,4,h,2300000.0,VB,Kay,23-04-2016,3141,Southern Metropolitan,2.7,Melbourne City Council,25147,5,0,18,0,0
706,South Yarra,1/949 Punt Rd,1,u,310000.0,SP,hockingstuart,23-04-2016,3141,Southern Metropolitan,2.7,Melbourne City Council,25147,5,0,18,0,0
707,Southbank,2005/39 Coventry St,2,u,690000.0,S,Greg,23-04-2016,3006,Southern Metropolitan,0.7,Melbourne City Council,18709,2,0,1,0,0
708,Springvale South,19 Amersham Av,3,h,650000.0,S,iSell,23-04-2016,3172,South-Eastern Metropolitan,22.2,Greater Dandenong City Council,12768,7,0,15,0,0
709,St Albans,79 Moonstone Cct,3,h,498000.0,SP,Ray,23-04-2016,3021,Western Metropolitan,14.0,Brimbank City Council,37309,18,4,32,0,0
710,St Kilda,5/42 Grey St,2,u,535000.0,S,Greg,23-04-2016,3182,Southern Metropolitan,5.0,Port Phillip City Council,20230,5,0,12,1,1
711,Strathmore,59 Glenview Rd,3,h,1205000.0,SP,Nelson,23-04-2016,3041,Western Metropolitan,8.2,Moonee Valley City Council,8419,5,0,18,0,0
712,Strathmore,11/2 Mascoma St,2,h,535000.0,S,Considine,23-04-2016,3041,Western Metropolitan,8.2,Moonee Valley City Council,8419,5,0,18,0,0
713,Surrey Hills,29 Boisdale St,5,h,1518000.0,S,Fletchers,23-04-2016,3127,Southern Metropolitan,10.2,Boroondara City Council,13605,5,0,15,0,0
714,Taylors Hill,26 Cardinia Cr,4,h,570000.0,S,Barry,23-04-2016,3037,Western Metropolitan,18.0,Melton City Council,14921,8,1,17,1,1
715,Taylors Hill,22 Treasury Pl,4,h,750000.0,S,Barry,23-04-2016,3037,Western Metropolitan,18.0,Melton City Council,14921,8,1,17,1,1
716,Taylors Lakes,8 Solent Cr,3,h,482000.0,PI,Brad,23-04-2016,3038,Western Metropolitan,15.5,Brimbank City Council,15519,7,0,13,0,0
717,Templestowe,44 Tuckers Rd,4,h,1050000.0,VB,Jellis,23-04-2016,3106,Eastern Metropolitan,15.5,Manningham City Council,16618,4,0,21,0,0
718,Templestowe Lower,30 Waratah Dr,3,h,940000.0,S,Jellis,23-04-2016,3107,Eastern Metropolitan,12.4,Manningham City Council,13429,2,1,6,0,0
719,Thomastown,80 Cedar St,2,h,605000.0,S,Harcourts,23-04-2016,3074,Northern Metropolitan,15.3,Whittlesea City Council,20523,7,0,22,0,0
720,Thomastown,20 Waratah St,3,h,532000.0,S,Barry,23-04-2016,3074,Northern Metropolitan,15.3,Whittlesea City Council,20523,7,0,22,0,0
721,Toorak,6 Leighton Ct,3,h,4200000.0,S,Melbourne,23-04-2016,3142,Southern Metropolitan,4.1,Stonnington City Council,12909,4,1,11,0,0
722,Vermont,23 Holyrood Dr,4,h,890000.0,S,Barry,23-04-2016,3133,Eastern Metropolitan,17.2,Maroondah City Council,10442,10,1,20,0,0
723,Wantirna,52 Brentwood Dr,4,h,780000.0,PI,Fletchers,23-04-2016,3152,Eastern Metropolitan,14.7,Knox City Council,13818,11,2,49,0,0
724,Warranwood,4 Warrangum Pl,3,h,780000.0,SP,Jellis,23-04-2016,3134,Eastern Metropolitan,19.9,Maroondah City Council,4807,12,1,46,0,0
725,Warranwood,5/45 Warranwood Rd,3,u,570000.0,PI,Philip,23-04-2016,3134,Eastern Metropolitan,19.9,Maroondah City Council,4807,12,1,46,0,0
726,Waterways,1 Paragon Wy,4,h,785000.0,SP,RW,23-04-2016,3195,South-Eastern Metropolitan,21.5,Kingston City Council,2461,11,1,30,0,0
727,Watsonia,3/8 Herbert St,2,t,485000.0,S,Stockdale,23-04-2016,3087,Northern Metropolitan,14.5,Banyule City Council,5214,4,0,9,0,0
728,Wheelers Hill,7 Bronwyn Ct,5,h,1385000.0,S,Barry,23-04-2016,3150,South-Eastern Metropolitan,16.7,Monash City Council,19753,21,2,51,0,0
729,Yarraville,18 Frederick St,3,h,745000.0,S,hockingstuart,23-04-2016,3013,Western Metropolitan,6.3,Maribyrnong City Council,14965,4,0,20,1,1
730,Yarraville,2 Hood St,4,h,1158000.0,S,Jas,23-04-2016,3013,Western Metropolitan,6.3,Maribyrnong City Council,14965,4,0,20,1,1
731,Yarraville,51 Sussex St,3,h,867000.0,S,RT,23-04-2016,3013,Western Metropolitan,6.3,Maribyrnong City Council,14965,4,0,20,1,1
732,Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,07-05-2016,3067,Northern Metropolitan,3.0,Yarra City Council,8184,3,0,11,0,0
733,Abbotsford,124 Yarra St,3,h,1876000.0,S,Nelson,07-05-2016,3067,Northern Metropolitan,3.0,Yarra City Council,8184,3,0,11,0,0
734,Aberfeldie,6/8 Arthur St,2,u,442000.0,S,Nelson,07-05-2016,3040,Western Metropolitan,7.5,Moonee Valley City Council,3897,10,1,28,0,0
735,Aberfeldie,8/257 Buckley St,2,u,470000.0,S,Brad,07-05-2016,3040,Western Metropolitan,7.5,Moonee Valley City Council,3897,10,1,28,0,0
736,Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,07-05-2016,3042,Western Metropolitan,10.4,Moonee Valley City Council,7564,6,0,22,1,1
737,Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,07-05-2016,3042,Western Metropolitan,10.4,Moonee Valley City Council,7564,6,0,22,1,1
738,Albert Park,54 Brooke St,2,h,1550000.0,S,Sotheby's,07-05-2016,3206,Southern Metropolitan,3.0,Port Phillip City Council,6215,4,0,33,0,0
739,Albert Park,104 Richardson St,4,h,2300000.0,S,Marshall,07-05-2016,3206,Southern Metropolitan,3.0,Port Phillip City Council,6215,4,0,33,0,0
740,Alphington,1/9 Roemer Cr,2,u,480000.0,PI,Miles,07-05-2016,3078,Northern Metropolitan,5.7,Darebin City Council,5080,4,1,15,0,0
741,Altona,156 Maidstone St,3,h,660000.0,VB,Greg,07-05-2016,3018,Western Metropolitan,11.0,Hobsons Bay City Council,10762,4,1,25,1,1
742,Altona North,58a Clematis Av,4,t,780000.0,S,hockingstuart,07-05-2016,3025,Western Metropolitan,9.4,Hobsons Bay City Council,12152,6,0,27,0,0
743,Altona North,1/77 Hansen St,3,u,720000.0,S,hockingstuart,07-05-2016,3025,Western Metropolitan,9.4,Hobsons Bay City Council,12152,6,0,27,0,0
744,Altona North,21 Joel Av,3,h,705000.0,SP,Village,07-05-2016,3025,Western Metropolitan,9.4,Hobsons Bay City Council,12152,6,0,27,0,0
745,Altona North,1/95 Mills St,3,h,588000.0,S,Williams,07-05-2016,3025,Western Metropolitan,9.4,Hobsons Bay City Council,12152,6,0,27,0,0
746,Altona North,2/5 Stapley Cr,4,h,720000.0,VB,hockingstuart,07-05-2016,3025,Western Metropolitan,9.4,Hobsons Bay City Council,12152,6,0,27,0,0
747,Ardeer,3/67 Suspension St,2,h,345000.0,S,Barry,07-05-2016,3022,Western Metropolitan,12.8,Brimbank City Council,3103,2,0,1,1,1
748,Armadale,553 Dandenong Rd,5,h,1525000.0,PI,Jellis,07-05-2016,3143,Southern Metropolitan,6.3,Stonnington City Council,9054,2,0,7,0,0
749,Armadale,9/19 Mercer Rd,3,u,735000.0,PI,Marshall,07-05-2016,3143,Southern Metropolitan,6.3,Stonnington City Council,9054,2,0,7,0,0
750,Armadale,6/26 Mercer Rd,2,u,825000.0,S,Jellis,07-05-2016,3143,Southern Metropolitan,6.3,Stonnington City Council,9054,2,0,7,0,0
751,Armadale,538a Orrong Rd,3,t,1586000.0,S,RT,07-05-2016,3143,Southern Metropolitan,6.3,Stonnington City Council,9054,2,0,7,0,0
752,Ascot Vale,120 Epsom Rd,3,h,970000.0,S,Brad,07-05-2016,3032,Western Metropolitan,4.3,Moonee Valley City Council,14750,6,1,25,0,0
753,Ascot Vale,47 Hurtle St,2,h,940000.0,S,Nelson,07-05-2016,3032,Western Metropolitan,4.3,Moonee Valley City Council,14750,6,1,25,0,0
754,Ascot Vale,63 Kent St,2,h,751000.0,PI,Nelson,07-05-2016,3032,Western Metropolitan,4.3,Moonee Valley City Council,14750,6,1,25,0,0
755,Ascot Vale,4 The Parade,2,h,950000.0,SP,Raine,07-05-2016,3032,Western Metropolitan,4.3,Moonee Valley City Council,14750,6,1,25,0,0
756,Ashburton,60 Munro Av,5,h,1850000.0,S,Fletchers,07-05-2016,3147,Southern Metropolitan,10.2,Boroondara City Council,7751,7,1,34,0,0
757,Ashwood,8 Rocklands Rd,3,h,1120000.0,S,Tim,07-05-2016,3147,Southern Metropolitan,10.2,Monash City Council,6886,7,1,34,0,0
758,Aspendale,17 Nepean Hwy,3,h,890000.0,S,Biggin,07-05-2016,3195,South-Eastern Metropolitan,21.5,Kingston City Council,6940,11,1,30,0,0
759,Aspendale,5 Wanda Ct,3,h,695000.0,S,Greg,07-05-2016,3195,South-Eastern Metropolitan,21.5,Kingston City Council,6940,11,1,30,0,0
760,Aspendale Gardens,1 Oriflamme Ct,4,h,690000.0,PI,Barry,07-05-2016,3195,South-Eastern Metropolitan,21.5,Kingston City Council,6530,11,1,30,0,0
761,Attwood,26 Trinity Bvd,4,h,746000.0,S,Stockdale,07-05-2016,3049,Northern Metropolitan,16.5,Hume City Council,3419,1,0,7,0,0
762,Avondale Heights,14 Lovett Dr,4,h,1160000.0,S,Moonee,07-05-2016,3034,Western Metropolitan,9.5,Moonee Valley City Council,11633,2,0,6,1,1
763,Balaclava,3/88 Grosvenor St,1,u,280000.0,VB,hockingstuart,07-05-2016,3183,Southern Metropolitan,6.4,Port Phillip City Council,5396,4,2,0,1,1
764,Balwyn,24 Bennett St,4,h,2000000.0,PI,RT,07-05-2016,3103,Southern Metropolitan,7.9,Boroondara City Council,13312,7,0,9,1,1
765,Balwyn,4/3 King St,3,h,700000.0,VB,Marshall,07-05-2016,3103,Southern Metropolitan,7.9,Boroondara City Council,13312,7,0,9,1,1
766,Balwyn,27 Nungerner St,4,h,2130000.0,PI,Jellis,07-05-2016,3103,Southern Metropolitan,7.9,Boroondara City Council,13312,7,0,9,1,1
767,Balwyn,3/18 Weir St,2,h,500000.0,S,Marshall,07-05-2016,3103,Southern Metropolitan,7.9,Boroondara City Council,13312,7,0,9,1,1
768,Balwyn,3 Westminster St,3,h,2125000.0,SP,Jellis,07-05-2016,3103,Southern Metropolitan,7.9,Boroondara City Council,13312,7,0,9,1,1
769,Balwyn,89 Yarrbat Av,5,h,4350000.0,VB,Jellis,07-05-2016,3103,Southern Metropolitan,7.9,Boroondara City Council,13312,7,0,9,1,1
770,Balwyn North,6 Abassia St,6,h,1505000.0,S,hockingstuart,07-05-2016,3104,Southern Metropolitan,9.7,Boroondara City Council,20406,7,0,35,1,1
771,Balwyn North,1/9 Citron Av,3,h,920000.0,PI,Fletchers,07-05-2016,3104,Southern Metropolitan,9.7,Boroondara City Council,20406,7,0,35,1,1
772,Balwyn North,30 Clifton St,4,h,1572000.0,S,hockingstuart,07-05-2016,3104,Southern Metropolitan,9.7,Boroondara City Council,20406,7,0,35,1,1
773,Balwyn North,10 Seattle St,4,h,1500000.0,VB,Jellis,07-05-2016,3104,Southern Metropolitan,9.7,Boroondara City Council,20406,7,0,35,1,1
774,Balwyn North,3/54 Severn St,4,t,1400000.0,S,Jellis,07-05-2016,3104,Southern Metropolitan,9.7,Boroondara City Council,20406,7,0,35,1,1
775,Beaumaris,447a Balcombe Rd,4,t,1310000.0,SP,Buxton,07-05-2016,3193,Southern Metropolitan,17.3,Bayside City Council,13349,6,0,26,0,0
776,Beaumaris,22 Coreen Av,5,h,1400000.0,S,Buxton,07-05-2016,3193,Southern Metropolitan,17.3,Bayside City Council,13349,6,0,26,0,0
777,Beaumaris,7b Spicer St,2,t,767000.0,S,Buxton,07-05-2016,3193,Southern Metropolitan,17.3,Bayside City Council,13349,6,0,26,0,0
778,Bentleigh,16a Marquis Rd,5,t,1375000.0,VB,C21,07-05-2016,3204,Southern Metropolitan,11.4,Glen Eira City Council,16153,9,2,28,1,1
779,Bentleigh,23 Yawla St,3,h,1500000.0,PI,hockingstuart,07-05-2016,3204,Southern Metropolitan,11.4,Glen Eira City Council,16153,9,2,28,1,1
780,Bentleigh East,24 Barrani St,3,h,1215000.0,S,Woodards,07-05-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
781,Bentleigh East,71 Bignell Rd,4,h,1200000.0,S,hockingstuart,07-05-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
782,Bentleigh East,96 Brady Rd,3,h,1050000.0,S,Buxton,07-05-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
783,Bentleigh East,25 Connie St,5,h,950000.0,VB,Woodards,07-05-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
784,Bentleigh East,9/7 Derry St,2,u,380000.0,PI,Buxton,07-05-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
785,Bentleigh East,3/32 Elizabeth St,2,h,689000.0,S,hockingstuart,07-05-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
786,Bentleigh East,33 Molden St,3,h,1400000.0,PI,hockingstuart,07-05-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
787,Bentleigh East,20 Normdale Rd,3,h,965000.0,S,hockingstuart,07-05-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
788,Bentleigh East,38 Northam Rd,3,h,1338000.0,S,Buxton,07-05-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
789,Bentleigh East,102b Parkmore Rd,4,t,1200000.0,S,Buxton,07-05-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
790,Bentleigh East,48a Purtell St,3,t,800000.0,S,Buxton,07-05-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
791,Bentleigh East,1/6 Richard St,2,u,651000.0,S,Gary,07-05-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
792,Bentleigh East,12 Rudyard St,3,h,920000.0,PI,Buxton,07-05-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
793,Bentleigh East,3 Veronica St,3,h,1390000.0,S,Buxton,07-05-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
794,Berwick,65 Earlsfield Dr,4,h,545000.0,SP,Harcourts,07-05-2016,3806,Eastern Victoria,35.2,Casey City Council,47674,12,7,23,0,0
795,Berwick,78 Whistler Dr,4,h,870000.0,SP,Harcourts,07-05-2016,3806,Eastern Victoria,35.2,Casey City Council,47674,12,7,23,0,0
796,Black Rock,25 Cheltenham Rd,3,t,850000.0,S,Buxton,07-05-2016,3193,Southern Metropolitan,17.3,Bayside City Council,6159,6,0,26,0,0
797,Blackburn South,82 Middleborough Rd,3,h,958000.0,SP,Ray,07-05-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,10793,11,1,24,0,0
798,Blackburn South,14 Mira St,3,h,852000.0,S,Woodards,07-05-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,10793,11,1,24,0,0
799,Briar Hill,14 Parklands Av,4,h,1115000.0,S,Fletchers,07-05-2016,3088,Eastern Metropolitan,16.1,Banyule City Council,3152,11,1,30,0,0
800,Brighton,74 Carpenter St,5,h,2750000.0,VB,Buxton,07-05-2016,3186,Southern Metropolitan,10.5,Bayside City Council,23253,8,4,34,1,2
801,Brighton,4/149 Church St,2,u,892500.0,S,Nick,07-05-2016,3186,Southern Metropolitan,10.5,Bayside City Council,23253,8,4,34,1,2
802,Brighton,120 Cole St,4,h,2145000.0,S,Buxton,07-05-2016,3186,Southern Metropolitan,10.5,Bayside City Council,23253,8,4,34,1,2
803,Brighton,15 Hanby St,5,h,3171000.0,S,Biggin,07-05-2016,3186,Southern Metropolitan,10.5,Bayside City Council,23253,8,4,34,1,2
804,Brighton,25 Lindsay St,4,t,2800000.0,VB,Buxton,07-05-2016,3186,Southern Metropolitan,10.5,Bayside City Council,23253,8,4,34,1,2
805,Brighton,2 View Ct,2,h,1910000.0,S,Hodges,07-05-2016,3186,Southern Metropolitan,10.5,Bayside City Council,23253,8,4,34,1,2
806,Brighton,36a Warleigh Gr,3,t,1850000.0,SP,Buxton,07-05-2016,3186,Southern Metropolitan,10.5,Bayside City Council,23253,8,4,34,1,2
807,Brighton,1/5 Webb St,3,t,1067000.0,S,Kay,07-05-2016,3186,Southern Metropolitan,10.5,Bayside City Council,23253,8,4,34,1,2
808,Brighton,72 William St,3,h,1865000.0,VB,hockingstuart,07-05-2016,3186,Southern Metropolitan,10.5,Bayside City Council,23253,8,4,34,1,2
809,Brighton East,16 Alford St,4,h,2000000.0,PI,Buxton,07-05-2016,3187,Southern Metropolitan,10.3,Bayside City Council,15998,4,0,2,0,0
810,Brighton East,11 Billson St,3,h,1400000.0,VB,Marshall,07-05-2016,3187,Southern Metropolitan,10.3,Bayside City Council,15998,4,0,2,0,0
811,Brighton East,60 Cummins Rd,3,h,1300000.0,VB,Marshall,07-05-2016,3187,Southern Metropolitan,10.3,Bayside City Council,15998,4,0,2,0,0
812,Brighton East,15 Hodder St,5,h,1600000.0,PI,RT,07-05-2016,3187,Southern Metropolitan,10.3,Bayside City Council,15998,4,0,2,0,0
813,Brighton East,5 Margaret St,2,h,1780000.0,SP,Buxton,07-05-2016,3187,Southern Metropolitan,10.3,Bayside City Council,15998,4,0,2,0,0
814,Brighton East,375 South Rd,5,h,1200000.0,VB,hockingstuart,07-05-2016,3187,Southern Metropolitan,10.3,Bayside City Council,15998,4,0,2,0,0
815,Brighton East,2/377 South Rd,2,t,770000.0,SP,Buxton,07-05-2016,3187,Southern Metropolitan,10.3,Bayside City Council,15998,4,0,2,0,0
816,Brighton East,14a Stone St,4,t,1425000.0,S,Buxton,07-05-2016,3187,Southern Metropolitan,10.3,Bayside City Council,15998,4,0,2,0,0
817,Brooklyn,3/53 Stenhouse Av,3,t,495000.0,SP,Jas,07-05-2016,3012,Western Metropolitan,6.4,Brimbank City Council,1856,6,0,29,0,0
818,Brunswick,314 Barkly St,3,h,1310000.0,PI,Nelson,07-05-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
819,Brunswick,5/185 Brunswick Rd,4,t,860000.0,PI,Nelson,07-05-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
820,Brunswick,141 Gold St,2,h,845500.0,S,Nelson,07-05-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
821,Brunswick,143 Gold St,2,h,860000.0,S,Nelson,07-05-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
822,Brunswick,3/4 Mitchell St,2,t,605000.0,PI,Jellis,07-05-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
823,Brunswick,13 Percy St,3,h,1055000.0,S,Nelson,07-05-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
824,Brunswick,9/33 Staley St,2,u,445000.0,S,Walshe,07-05-2016,3056,Northern Metropolitan,5.2,Moreland City Council,24473,3,1,24,1,1
825,Brunswick East,12 Bladen Av,2,h,905500.0,SP,Woodards,07-05-2016,3057,Northern Metropolitan,4.0,Moreland City Council,11504,3,0,8,1,1
826,Brunswick East,9 John St,4,h,1625000.0,S,Nelson,07-05-2016,3057,Northern Metropolitan,4.0,Moreland City Council,11504,3,0,8,1,1
827,Brunswick East,21 Roberts St,3,t,899000.0,SP,Jellis,07-05-2016,3057,Northern Metropolitan,4.0,Moreland City Council,11504,3,0,8,1,1
828,Brunswick West,1/455 Albion St,1,u,265000.0,PI,Walshe,07-05-2016,3055,Northern Metropolitan,5.2,Moreland City Council,14159,4,0,8,0,0
829,Brunswick West,64 Pearson St,3,h,955000.0,S,hockingstuart,07-05-2016,3055,Northern Metropolitan,5.2,Moreland City Council,14159,4,0,8,0,0
830,Bulleen,28 Dale St,3,h,1340000.0,S,Barry,07-05-2016,3105,Eastern Metropolitan,10.8,Manningham City Council,10873,4,0,19,1,1
831,Bulleen,206 Manningham Rd,4,h,1225000.0,S,Ray,07-05-2016,3105,Eastern Metropolitan,10.8,Manningham City Council,10873,4,0,19,1,1
832,Bundoora,15/121 Grange Bvd,3,t,380000.0,S,Ray,07-05-2016,3083,Northern Metropolitan,12.1,Banyule City Council,28653,9,5,47,1,1
833,Bundoora,41 Josef Av,3,h,580000.0,SP,Barry,07-05-2016,3083,Northern Metropolitan,12.1,Banyule City Council,28653,9,5,47,1,1
834,Burwood,7 Wattlebird Ct,4,h,2000000.0,S,Fletchers,07-05-2016,3125,Southern Metropolitan,10.4,Monash City Council,15019,5,0,22,0,0
835,Camberwell,68 Hunter Rd,4,h,2950000.0,VB,Fletchers,07-05-2016,3124,Southern Metropolitan,7.7,Boroondara City Council,22081,4,1,19,1,1
836,Camberwell,18 Russell St,4,h,2600000.0,VB,Jellis,07-05-2016,3124,Southern Metropolitan,7.7,Boroondara City Council,22081,4,1,19,1,1
837,Camberwell,19 Thomas St,3,h,2325000.0,PI,Marshall,07-05-2016,3124,Southern Metropolitan,7.7,Boroondara City Council,22081,4,1,19,1,1
838,Canterbury,2 McGregor St,4,h,2375000.0,S,Jellis,07-05-2016,3126,Southern Metropolitan,8.4,Boroondara City Council,8056,5,2,2,0,0
839,Canterbury,31 Rubens Gr,5,h,2900000.0,PI,Jellis,07-05-2016,3126,Southern Metropolitan,8.4,Boroondara City Council,8056,5,2,2,0,0
840,Canterbury,42 Warburton Rd,3,h,2200000.0,VB,Noel,07-05-2016,3126,Southern Metropolitan,8.4,Boroondara City Council,8056,5,2,2,0,0
841,Carlton,40 Carlton St,3,h,1662000.0,S,Nelson,07-05-2016,3053,Northern Metropolitan,1.6,Melbourne City Council,18535,2,2,3,0,0
842,Carlton,254 Faraday St,3,h,1590000.0,SP,Woodards,07-05-2016,3053,Northern Metropolitan,1.6,Melbourne City Council,18535,2,2,3,0,0
843,Carlton,111/101 Grattan St,2,u,610250.0,S,Nelson,07-05-2016,3053,Northern Metropolitan,1.6,Melbourne City Council,18535,2,2,3,0,0
844,Carlton,83 Princes St,2,h,720000.0,PI,hockingstuart,07-05-2016,3053,Northern Metropolitan,1.6,Melbourne City Council,18535,2,2,3,0,0
845,Carlton North,989 Drummond St,3,h,2950000.0,SP,Chambers,07-05-2016,3054,Northern Metropolitan,3.5,Melbourne City Council,6300,3,0,1,0,0
846,Carlton North,700 Rathdowne St,4,h,2175000.0,S,Woodards,07-05-2016,3054,Northern Metropolitan,3.5,Melbourne City Council,6300,3,0,1,0,0
847,Carlton North,86 Wilson St,3,h,1555000.0,S,Woodards,07-05-2016,3054,Northern Metropolitan,3.5,Melbourne City Council,6300,3,0,1,0,0
848,Carnegie,1 Frogmore Rd,3,h,1600000.0,S,Woodards,07-05-2016,3163,Southern Metropolitan,10.1,Glen Eira City Council,17388,5,0,28,0,0
849,Carnegie,63 Oakleigh Rd,3,h,1170000.0,S,hockingstuart,07-05-2016,3163,Southern Metropolitan,10.1,Glen Eira City Council,17388,5,0,28,0,0
850,Carnegie,10/68 Woornack Rd,1,u,260000.0,VB,Gary,07-05-2016,3163,Southern Metropolitan,10.1,Glen Eira City Council,17388,5,0,28,0,0
851,Caroline Springs,17 Etheridge Ri,3,h,500000.0,S,Barry,07-05-2016,3023,Western Metropolitan,14.8,Melton City Council,24205,16,0,47,0,0
852,Caroline Springs,18/11 Monckton Pl,2,u,325000.0,PI,Ray,07-05-2016,3023,Western Metropolitan,14.8,Melton City Council,24205,16,0,47,0,0
853,Carrum,4/85 Whatley St,2,u,372500.0,S,hockingstuart,07-05-2016,3197,South-Eastern Metropolitan,31.2,Kingston City Council,3980,1,0,11,0,0
854,Carrum Downs,18 Bawden St,4,h,535000.0,S,Harcourts,07-05-2016,3201,South-Eastern Metropolitan,34.9,Frankston City Council,20711,5,0,14,1,1
855,Carrum Downs,50 Herbert Rd,3,h,440000.0,S,Harcourts,07-05-2016,3201,South-Eastern Metropolitan,34.9,Frankston City Council,20711,5,0,14,1,1
856,Caulfield North,25 Malvern Gr,3,h,2005000.0,PI,Jellis,07-05-2016,3161,Southern Metropolitan,7.8,Glen Eira City Council,15269,3,2,8,0,0
857,Caulfield South,9 Filbert St,3,h,1470000.0,S,Gary,07-05-2016,3162,Southern Metropolitan,8.7,Glen Eira City Council,11854,5,4,33,0,0
858,Caulfield South,6/305 Hawthorn Rd,2,u,670000.0,S,hockingstuart,07-05-2016,3162,Southern Metropolitan,8.7,Glen Eira City Council,11854,5,4,33,0,0
859,Caulfield South,1 Rotorua St,2,h,1012000.0,S,Gary,07-05-2016,3162,Southern Metropolitan,8.7,Glen Eira City Council,11854,5,4,33,0,0
860,Chelsea,4/488 Nepean Hwy,2,u,475000.0,SP,hockingstuart,07-05-2016,3196,South-Eastern Metropolitan,27.0,Kingston City Council,7773,5,1,31,0,0
861,Chelsea Heights,5 Nariel Ct,3,h,615000.0,SP,RW,07-05-2016,3196,South-Eastern Metropolitan,27.0,Kingston City Council,5335,5,1,31,0,0
862,Cheltenham,14a Brownfield St,3,t,830000.0,S,OBrien,07-05-2016,3192,Southern Metropolitan,17.9,Bayside City Council,22291,5,1,23,0,0
